ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1776161352698,2097152,-1.2190835,5.1781116,8.349166,0.030543262,0.015882496,-0.0036651916,
1776161352738,2277040,-1.1759726,5.151766,8.291684,0.030543262,0.015882496,-0.0036651916,0
1776161352781,2276828,-1.3005155,5.108655,8.349166,-0.002443461,0.007330383,-0.0036651916,0
1776161352818,2276754,-1.235849,5.113445,8.296474,0.009773844,0.004886922,0.0012217305,0
1776161352860,2276672,-1.2047132,5.108655,8.361141,-0.009773844,0.008552114,0.008552114,0
1776161352899,2276635,-1.2095034,5.144581,8.320425,0.0036651916,0.010995574,0.0036651916,0
1776161352943,2276608,-1.2430341,5.1757164,8.29408,0.012217305,0.010995574,0.0,0
1776161352976,2276608,-1.2430341,5.1757164,8.29408,0.012217305,0.010995574,0.0,0
1776161353020,2276558,-1.2909353,5.0655437,8.370722,0.02687807,0.007330383,0.004886922,0
1776161353056,2276633,-1.2310588,5.0847044,8.385092,0.013439035,0.002443461,0.009773844,0
1776161353096,2073612,-1.2095034,5.1038647,8.310845,0.0012217305,0.007330383,0.013439035,0
1776161353137,2073720,-1.2574044,4.938606,8.1910925,-0.02321288,0.008552114,0.018325957,0
1776161353178,2073772,-1.2669847,4.931421,8.068944,-0.02321288,0.008552114,0.018325957,0
1776161353219,2073903,-1.2957253,5.015248,8.167142,-0.064751714,0.05375614,0.015882496,0
1776161353260,2074063,-1.362787,5.0870996,8.210253,-0.039095376,0.064751714,0.039095376,0
1776161353301,2097992,-1.238244,5.0200377,8.387486,-0.02321288,0.04520403,0.035430185,0
1776161353338,2098347,-1.108911,5.1302104,8.543165,-0.02321288,0.04520403,0.035430185,0
1776161353381,2098547,-1.1903429,4.9649515,8.53119,-0.02321288,0.04520403,0.035430185,0
1776161353417,2098103,-1.1903429,4.9649515,8.53119,-0.02321288,0.04520403,0.035430185,0
1776161353457,2097730,-1.2047132,4.998482,8.385092,0.013439035,-0.047647487,0.013439035,0
1776161353497,2094141,-1.2023182,4.91226,8.353956,-0.013439035,-0.04642576,0.034208454,0
1776161353541,2093920,-1.1759726,4.9745317,8.284499,-0.04642576,-0.034208454,0.04642576,0
1776161353576,2094086,-1.281355,4.900285,8.224623,-0.04642576,-0.034208454,0.04642576,0
1776161353617,2094409,-1.1448369,4.979322,8.255758,-0.04642576,-0.034208454,0.04642576,0
1776161353659,2094572,-1.2190835,4.8835196,8.310845,-0.04642576,-0.034208454,0.04642576,0
1776161353697,2094702,-1.2645897,4.869149,8.315635,-0.12339478,-0.008552114,0.13194689,0
1776161353737,2095094,-1.3819474,4.998482,8.270129,-0.2321288,-0.07819075,0.267559,0
1776161353778,2095521,-1.5855272,4.823643,8.08571,-0.2321288,-0.07819075,0.267559,0
1776161353818,2096120,-1.6142678,4.737421,7.9851174,-0.2321288,-0.07819075,0.267559,0
1776161353859,2096632,-1.4633794,4.306311,8.092895,-0.53878313,-0.12583824,0.6096435,0
1776161353898,2097163,-1.4154782,4.2368546,8.325215,-0.6401868,-0.08552113,0.58032197,0
1776161353938,2097636,-1.1113061,3.5997694,8.569511,-0.5497787,-0.056199603,0.56199604,0
1776161353978,2098156,-0.9676027,3.7314975,8.737165,-0.5497787,-0.056199603,0.56199604,0
1776161354018,2098683,-0.58439374,3.4752266,8.765905,-0.5497787,-0.056199603,0.56199604,0
1776161354057,2099203,-0.51733214,2.7471294,8.909609,-0.93584555,-0.1600467,0.68416905,0
1776161354100,2099802,-0.1532836,2.474093,8.971881,-1.0885619,-0.1600467,0.64873886,0
1776161354138,2099210,-0.10538247,1.8465884,8.665314,-1.1533136,-0.26511553,0.6939429,0
1776161354176,2098300,0.2299254,1.4178733,8.801831,-1.2889256,-0.28221974,0.7611381,0
1776161354216,2097709,0.27543145,1.2861452,8.722795,-1.2889256,-0.28221974,0.7611381,0
1776161354257,2097706,0.033530787,0.9891582,9.218572,-1.2889256,-0.28221974,0.7611381,0
1776161354297,2097884,0.41434473,1.1735775,9.996964,-1.0616838,0.065973446,1.2498302,0
1776161354337,2098623,0.5867888,1.4514041,10.830444,-0.7305948,0.26511553,1.2767084,0
1776161354378,2099658,1.6430086,1.5184656,11.192098,-0.7305948,0.26511553,1.2767084,0
1776161354416,2100183,1.9855015,0.8238993,10.739432,-0.7305948,0.26511553,1.2767084,0
1776161354458,2101098,1.0059236,-0.8238993,10.921456,-0.7305948,0.26511553,1.2767084,0
1776161354498,2102568,0.07424674,0.22274023,9.802965,-0.13927728,0.2773328,1.3316863,0
1776161354537,2104263,0.16046876,0.13412315,9.599385,-0.2883284,0.21380283,1.3536774,0
1776161354577,2105564,-0.12454292,-0.9244917,9.220966,-0.4251622,0.2883284,1.2986995,0
1776161354618,2107298,-0.2299254,-1.3579968,9.407781,-0.4251622,0.2883284,1.2986995,0
1776161354657,2108786,-0.5508629,-1.9783164,9.7862,-0.4251622,0.2883284,1.2986995,0
1776161354698,2110289,0.026345618,-2.2465627,9.266473,-1.0128145,0.2125811,0.5412266,0
1776161354738,2111478,-0.59636897,-2.4525375,9.070078,-0.8002335,0.3115413,0.344528,0
1776161354777,2112498,-1.106516,-3.1303384,9.117979,-0.54000485,0.27488935,0.18692477,0
1776161354817,2113419,-2.2250073,-3.7674234,10.3394575,-0.54000485,0.27488935,0.18692477,0
1776161354859,2114839,-1.9256252,-1.362787,9.280843,-0.54000485,0.27488935,0.18692477,0
1776161354898,2114978,-2.0645385,-1.619058,9.323954,-0.3200934,0.3115413,-0.030543262,0
1776161354937,2114675,-1.8968844,-1.4226633,9.376645,-0.15027285,0.3213151,-0.030543262,0
1776161354976,2114987,-1.2621946,-2.220217,8.854523,0.23945917,0.3286455,0.0061086523,0
1776161355018,2115191,-0.77839327,-2.3711057,9.192225,0.23945917,0.3286455,0.0061086523,0
1776161355057,2115619,-0.31135732,-1.9447856,9.283237,0.23945917,0.3286455,0.0061086523,0
1776161355100,2115739,-0.5915789,-2.9722648,9.644892,0.035430185,-0.06963864,0.017104227,0
1776161355137,2115748,-0.9867631,-2.4070315,9.465262,-0.11728613,-0.25778514,-0.015882496,0
1776161355179,2115610,-1.748391,-2.5195992,9.522743,-0.17348573,-0.17715092,0.010995574,0
1776161355216,2115490,-2.6393518,-1.5424162,9.113189,-0.17348573,-0.17715092,0.010995574,0
1776161355259,2115523,-2.2944639,-1.3795524,9.103608,-0.17348573,-0.17715092,0.010995574,0
1776161355297,2115093,-0.936467,-2.9315488,9.5347185,-0.07086037,-0.030543262,0.019547688,0
1776161355336,2114781,-1.4394288,-2.7615,9.132349,-0.037873644,-0.004886922,0.029321533,0
1776161355380,2114835,-1.5064903,-2.3567352,9.192225,-0.04520403,0.018325957,0.002443461,0
1776161355419,2114634,-1.410688,-2.3806858,9.232942,-0.028099801,0.02565634,-0.007330383,0
1776161355458,2114453,-1.4130832,-2.517204,9.194621,-0.028099801,0.02565634,-0.007330383,0
1776161355498,2114372,-1.4011079,-2.5914507,9.285633,0.002443461,0.029321533,0.015882496,0
1776161355537,2114406,-1.4370337,-2.5028336,9.247312,0.02321288,0.028099801,0.021991149,0
1776161355582,2114371,-1.403503,-2.5507348,9.1706705,0.009773844,0.02321288,0.03176499,0
1776161355616,2113334,-1.3675771,-2.466908,9.16588,0.036651913,0.018325957,0.028099801,0
1776161355658,2111858,-1.4154782,-2.6058211,9.194621,0.036651913,0.018325957,0.028099801,0
1776161355697,2110802,-1.5424162,-2.4405622,9.192225,0.036651913,0.018325957,0.028099801,0
1776161355736,2110054,-1.4849348,-2.5746853,9.17546,0.009773844,0.02687807,0.0,0
1776161355776,2109377,-1.5783421,-2.56271,9.17546,0.02076942,0.02321288,0.0036651916,0
1776161355819,2109021,-1.4729595,-2.5195992,9.302399,0.013439035,0.018325957,0.008552114,0
1776161355859,2108646,-1.408293,-2.4477475,9.254498,0.013439035,0.018325957,0.008552114,0
1776161355897,2108177,-1.4274535,-2.598636,9.197016,0.013439035,0.018325957,0.008552114,0
1776161355939,2107828,-1.5711569,-2.476488,9.244917,0.021991149,0.015882496,0.0061086523,0
1776161355985,2107665,-1.5519965,-2.5291793,9.213781,0.02321288,0.012217305,0.012217305,0
