ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1776047906665,2097152,2.8620923,2.466908,8.998226,0.039095376,0.03176499,-0.08307768,
1776047906707,2097152,2.8620923,2.466908,8.998226,0.039095376,0.03176499,-0.08307768,
1776047906743,2274456,2.9650795,2.7974257,8.94793,0.057421334,0.035430185,-0.04153884,
1776047906783,2274442,2.97945,2.6345618,8.868893,0.07574729,0.064751714,-0.030543262,
1776047906823,2274369,2.9315488,2.7112036,8.890449,0.13561209,0.015882496,-0.0842994,
1776047906863,2274411,2.7974257,2.7016234,8.765905,0.103847094,-0.008552114,-0.08307768,
1776047906903,2274368,2.9531043,2.7902405,9.129954,0.103847094,-0.008552114,-0.08307768,
1776047906955,2274312,2.5363646,2.938734,8.514424,0.59742624,-0.24556783,-0.13927728,
1776047906985,2274312,2.5363646,2.938734,8.514424,0.5290093,-0.22724187,-0.12339478,
1776047907023,2274293,3.0896225,2.9195735,9.084448,1.1313224,-0.65240407,-0.35918877,
1776047907065,2274454,2.5675,3.0608819,8.794646,0.7305948,-0.75136423,-0.021991149,
1776047907104,2074024,3.1638691,3.7698185,8.466523,0.7305948,-0.75136423,-0.021991149,
1776047907144,2073692,3.068067,3.7626333,8.564721,0.7305948,-0.75136423,-0.021991149,
1776047907184,2073115,3.365054,3.626115,8.425808,-0.19181168,0.058643065,-0.039095376,
1776047907222,2072402,3.793769,3.8296947,8.392277,-0.88208944,0.45937067,-0.48747048,
1776047907263,2072252,3.0057955,3.6141398,8.662918,-0.31520647,-0.13439035,-0.31764993,
1776047907302,2096828,4.0692005,3.9446576,8.176722,-0.31520647,-0.13439035,-0.31764993,
1776047907344,2096195,3.149499,3.283622,8.595857,-0.31520647,-0.13439035,-0.31764993,
1776047907383,2096093,3.532708,3.5303128,8.447363,-0.31520647,-0.13439035,-0.31764993,
1776047907424,2095350,3.5614486,3.0153759,8.7299795,-0.15760323,0.042760566,-0.037873644,0
1776047907464,2096468,3.3171527,3.1758444,8.471313,-0.007330383,-0.103847094,-0.034208454,0
1776047907504,2097399,3.288412,3.1207583,8.682078,-0.007330383,-0.103847094,-0.034208454,0
1776047907544,2096884,3.3530786,2.9650795,8.765905,-0.007330383,-0.103847094,-0.034208454,0
1776047907582,2099529,3.321943,2.6633024,8.598251,-0.007330383,-0.103847094,-0.034208454,0
1776047907638,2103678,3.4728315,3.068067,8.792252,-0.09162979,-0.030543262,-0.064751714,0
1776047907670,2104277,3.2453012,3.2453012,8.684474,0.04642576,-0.105068825,0.02443461,0
1776047907702,2104277,3.2453012,3.2453012,8.684474,0.04642576,-0.105068825,0.02443461,0
1776047907744,2094512,3.288412,3.0800424,9.067682,0.04642576,-0.105068825,0.02443461,0
1776047907782,2090143,3.412955,3.065672,8.9958315,0.04642576,-0.105068825,0.02443461,0
1776047907823,2086620,3.3842144,3.1518939,8.432993,-0.105068825,0.058643065,0.002443461,0
1776047907864,2079198,3.5566585,3.1806345,8.708425,0.12217305,0.056199603,0.04153884,0
1776047907904,2073745,3.367449,3.1974,8.502449,0.118507855,0.042760566,-0.064751714,0
